GP,W,D,L,F,A,GD,P,Team,Year,PPG
34,14,7,13,50,49,+1,49,5 MTL CF Montréal,2013,
34,14,7,13,47,52,-5,49,6 CHI Chicago Fire FC,2013,
34,12,10,12,42,44,-2,46,7 PHI Philadelphia Union,2013,
34,12,5,17,42,46,-4,41,8 CLB Columbus Crew,2013,
34,6,11,17,30,47,-17,29,9 TOR Toronto FC,2013,
34,3,7,24,22,59,-37,16,10 DC D.C. United,2013,
34,14,15,5,54,33,+21,57,1 POR Portland Timbers,2013,
34,16,8,10,57,41,+16,56,2 RSL Real Salt Lake,2013,
34,15,8,11,53,38,+15,53,3 LA LA Galaxy,2013,
34,15,7,12,42,42,0,52,4 SEA Seattle Sounders FC,2013,
34,14,9,11,45,38,+7,51,5 COL Colorado Rapids,2013,
34,14,9,11,35,42,-7,51,6 SJ San Jose Earthquakes,2013,
34,13,9,12,53,45,+8,48,7 VAN Vancouver Whitecaps,2013,
34,11,11,12,48,52,-4,44,8 DAL FC Dallas,2013,
34,6,8,20,30,67,-37,26,9 CHV Chivas USA,2013,
34,17,8,9,52,37,+15,59,1 DC D.C. United,2014,
34,17,4,13,51,46,+5,55,2 NE New England Revolution,2014,
34,14,10,10,52,42,+10,52,3 CLB Columbus Crew,2014,
34,13,11,10,55,50,+5,50,4 NY New York Red Bulls,2014,
34,14,7,13,48,41,+7,49,5 SKC Sporting Kansas City,2014,
34,10,12,12,51,51,0,42,6 PHI Philadelphia Union,2014,
34,11,8,15,44,54,-10,41,7 TOR Toronto FC,2014,
34,11,6,17,39,58,-19,39,8 HOU Houston Dynamo FC,2014,
34,6,18,10,41,51,-10,36,9 CHI Chicago Fire FC,2014,
34,6,10,18,38,58,-20,28,10 MTL CF Montréal,2014,
34,20,4,10,65,50,+15,64,1 SEA Seattle Sounders FC,2014,
34,17,10,7,69,37,+32,61,2 LA LA Galaxy,2014,
34,15,11,8,54,39,+15,56,3 RSL Real Salt Lake,2014,
34,16,6,12,55,45,+10,54,4 DAL FC Dallas,2014,
34,12,14,8,42,40,+2,50,5 VAN Vancouver Whitecaps,2014,
34,12,13,9,61,52,+9,49,6 POR Portland Timbers,2014,
34,9,6,19,29,61,-32,33,7 CHV Chivas USA,2014,
34,8,8,18,43,62,-19,32,8 COL Colorado Rapids,2014,
34,6,12,16,35,50,-15,30,9 SJ San Jose Earthquakes,2014,
34,18,6,10,62,43,+19,60,1 NY New York Red Bulls,2015,
34,15,8,11,58,53,+5,53,2 CLB Columbus Crew,2015,
34,15,6,13,48,44,+4,51,3 MTL CF Montréal,2015,
34,15,6,13,43,45,-2,51,4 DC D.C. United,2015,
34,14,8,12,48,47,+1,50,5 NE New England Revolution,2015,
34,15,4,15,58,58,0,49,6 TOR Toronto FC,2015,
34,12,8,14,46,56,-10,44,7 ORL Orlando City SC,2015,
34,10,7,17,49,58,-9,37,8 NYC New York City FC,2015,
34,10,7,17,42,55,-13,37,9 PHI Philadelphia Union,2015,
34,8,6,20,43,58,-15,30,10 CHI Chicago Fire FC,2015,
34,18,6,10,52,39,+13,60,1 DAL FC Dallas,2015,
34,16,5,13,45,36,+9,53,2 VAN Vancouver Whitecaps,2015,
34,15,8,11,41,39,+2,53,3 POR Portland Timbers,2015,
34,15,6,13,44,36,+8,51,4 SEA Seattle Sounders FC,2015,
34,14,9,11,56,46,+10,51,5 LA LA Galaxy,2015,
34,14,9,11,48,45,+3,51,6 SKC Sporting Kansas City,2015,
34,13,8,13,41,39,+2,47,7 SJ San Jose Earthquakes,2015,
34,11,9,14,42,49,-7,42,8 HOU Houston Dynamo FC,2015,
34,11,8,15,38,48,-10,41,9 RSL Real Salt Lake,2015,
34,9,10,15,33,43,-10,37,10 COL Colorado Rapids,2015,
34,16,9,9,61,44,+17,57,1 NY New York Red Bulls,2016,
34,15,9,10,62,57,+5,54,2 NYC New York City FC,2016,
34,14,11,9,51,39,+12,53,3 TOR Toronto FC,2016,
34,11,13,10,53,47,+6,46,4 DC D.C. United,2016,
34,11,12,11,49,53,-4,45,5 MTL CF Montréal,2016,
34,11,9,14,52,55,-3,42,6 PHI Philadelphia Union,2016,
34,11,9,14,44,54,-10,42,7 NE New England Revolution,2016,
34,9,14,11,55,60,-5,41,8 ORL Orlando City SC,2016,
34,8,12,14,50,58,-8,36,9 CLB Columbus Crew,2016,
34,7,10,17,42,58,-16,31,10 CHI Chicago Fire FC,2016,
34,17,9,8,50,40,+10,60,1 DAL FC Dallas,2016,
34,15,13,6,39,32,+7,58,2 COL Colorado Rapids,2016,
34,12,16,6,54,39,+15,52,3 LA LA Galaxy,2016,
34,14,6,14,44,43,+1,48,4 SEA Seattle Sounders FC,2016,
